DISTRITO FEDERAL,DEPUTADO DISTRITAL,13133,JOSE LUIS DIAS BORGES,LUISINHO,13,PT,PARTIDO DOS TRABALHADORES
DISTRITO FEDERAL,DEPUTADO FEDERAL,4500,EDUARDO ANTONIO RODRIGUES,DUDA RODRIGUES,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
DISTRITO FEDERAL,DEPUTADO DISTRITAL,51515,SAMIO BANDEIRA,SAMIO BANDEIRA,51,PATRI,PATRIOTA
DISTRITO FEDERAL,DEPUTADO DISTRITAL,55660,JOSE DE SOUSA RODRIGUES,ZE BIDOLA,55,PSD,PARTIDO SOCIAL DEMOCRÁTICO
DISTRITO FEDERAL,SEGUNDO SUPLENTE,233,MARCELO AGUIAR DOS SANTOS SA,MARCELO AGUIAR,23,PPS,PARTIDO POPULAR SOCIALISTA
DISTRITO FEDERAL,DEPUTADO DISTRITAL,20363,ANGELA CRISTINA DO NASCIMENTO AUGUSTO,ANGELA AUGUSTO,20,PSC,PARTIDO SOCIAL CRISTÃO
DISTRITO FEDERAL,DEPUTADO DISTRITAL,43062,MARIA DE JESUS SOEIRO MOTA,NADIR BALEIRA,43,PV,PARTIDO VERDE
DISTRITO FEDERAL,DEPUTADO DISTRITAL,90007,JANDERLENE NOGUEIRA DE SOUZA,JANDERLENE NOGUEIRA,90,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL
DISTRITO FEDERAL,DEPUTADO DISTRITAL,90180,MARIA DE FATIMA PEREIRA DA SILVA GODOI,PROFESSORA GODOI,90,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL
DISTRITO FEDERAL,DEPUTADO DISTRITAL,15100,RODOLPHO HOTH DOS REIS,RODOLPHO HOTH HOTH ,15,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO
DISTRITO FEDERAL,DEPUTADO DISTRITAL,90017,VANUZA ROSA DOS ANJOS,BARBARA ANJOS,90,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL
DISTRITO FEDERAL,DEPUTADO FEDERAL,9000,NEVITON PEREIRA JUNIOR,NEVITON SANGUE BOM,90,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL
DISTRITO FEDERAL,DEPUTADO DISTRITAL,18222,MICHAEL DE MATOS LEAL,MICHAEL LEAL,18,REDE,REDE SUSTENTABILIDADE
DISTRITO FEDERAL,DEPUTADO FEDERAL,2811,PAULO THIAGO LIMA COSTA BARRETO,MAJOR PAULO THIAGO,28,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO
DISTRITO FEDERAL,DEPUTADO DISTRITAL,50133,FRANCISCO WILAS DE SOUSA SANTOS,CODOZAO,50,PSOL,PARTIDO SOCIALISMO E LIBERDADE
DISTRITO FEDERAL,DEPUTADO DISTRITAL,31193,ANA PAULA DE ALMEIDA GUALBERTO,SUBTENENTE ANA PAULA,31,PHS,PARTIDO HUMANISTA DA SOLIDARIEDADE
DISTRITO FEDERAL,DEPUTADO DISTRITAL,11341,LINDOBEX RODRIGUES ALVES,LINDOBEX,11,PP,PARTIDO PROGRESSISTA
DISTRITO FEDERAL,DEPUTADO DISTRITAL,90190,FERNANDO BATISTA FERNANDES,DELEGADO FERNANDO FERNANDES,90,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL
DISTRITO FEDERAL,DEPUTADO DISTRITAL,23000,CLAUDIO AARON RIBEIRO,PROFESSOR AARON,23,PPS,PARTIDO POPULAR SOCIALISTA
DISTRITO FEDERAL,DEPUTADO DISTRITAL,12003,DANIEL ASSIS MARTINEZ,DANIEL MARTINEZ,12,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA
DISTRITO FEDERAL,DEPUTADO DISTRITAL,15017,DANIELA ALVES DE OLIVEIRA,DANI ALVES,15,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO
DISTRITO FEDERAL,DEPUTADO DISTRITAL,23711,ANDRE LUIZ DE CARVALHO MARTINS,ANDRE MARTINS ,23,PPS,PARTIDO POPULAR SOCIALISTA
DISTRITO FEDERAL,PRIMEIRO SUPLENTE,222,FRANCISCO JOSE DE OLIVEIRA FERRAZ,FRANCISCO FERRAZ,25,DEM,DEMOCRATAS
DISTRITO FEDERAL,DEPUTADO DISTRITAL,45444,ANTONIO MONTEIRO DOS SANTOS,DR. ANTONIO MONTEIRO,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
DISTRITO FEDERAL,DEPUTADO DISTRITAL,90907,MARCELO DE CARVALHO MARQUES,MARCELO MARQUES,90,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL
